GO,n_genes,TERM,contrast,term_label
GO:0008150,151,biological_process,thin_vs_early,biological_process
GO:0055085,74,transmembrane transport,thin_vs_early,transmembrane transport
GO:0015031,37,protein transport,thin_vs_early,protein transport
GO:0051301,37,cell division,thin_vs_early,cell division
GO:0006412,35,translation,thin_vs_early,translation
GO:0031505,34,fungal-type cell wall organization,thin_vs_early,fungal-type cell wall organization
GO:1902600,34,proton transmembrane transport,thin_vs_early,proton transmembrane transport
GO:0005975,33,carbohydrate metabolic process,thin_vs_early,carbohydrate metabolic process
GO:0006629,31,lipid metabolic process,thin_vs_early,lipid metabolic process
GO:0045944,30,positive regulation of transcription by RNA polymerase II,thin_vs_early,positive regulation of transcription by RNA polymerase II
GO:0071555,28,cell wall organization,thin_vs_early,cell wall organization
GO:0002181,25,cytoplasmic translation,thin_vs_early,cytoplasmic translation
GO:0000122,23,negative regulation of transcription by RNA polymerase II,thin_vs_early,negative regulation of transcription by RNA polymerase II
GO:0051321,23,meiotic cell cycle,thin_vs_early,meiotic cell cycle
GO:0006811,22,monoatomic ion transport,thin_vs_early,monoatomic ion transport
GO:0042254,22,ribosome biogenesis,thin_vs_early,ribosome biogenesis
GO:0006974,21,DNA damage response,thin_vs_early,DNA damage response
GO:0006357,20,regulation of transcription by RNA polymerase II,thin_vs_early,regulation of transcription by RNA polymerase II
GO:0019658,20,glucose fermentation to lactate and acetate,thin_vs_early,glucose fermentation to lactate and acetate
GO:0006096,19,glycolytic process,thin_vs_early,glycolytic process
GO:0006355,19,regulation of DNA-templated transcription,thin_vs_early,regulation of DNA-templated transcription
GO:0006865,19,amino acid transport,thin_vs_early,amino acid transport
GO:0034599,19,cellular response to oxidative stress,thin_vs_early,cellular response to oxidative stress
GO:0006364,18,rRNA processing,thin_vs_early,rRNA processing
GO:0006457,18,protein folding,thin_vs_early,protein folding
GO:0008652,18,amino acid biosynthetic process,thin_vs_early,amino acid biosynthetic process
GO:0030435,17,sporulation resulting in formation of a cellular spore,thin_vs_early,sporulation resulting in formation of a cellular spore
GO:0006281,16,DNA repair,thin_vs_early,DNA repair
GO:0006914,15,autophagy,thin_vs_early,autophagy
GO:0003333,14,amino acid transmembrane transport,thin_vs_early,amino acid transmembrane transport
GO:0006631,14,fatty acid metabolic process,thin_vs_early,fatty acid metabolic process
GO:0032543,14,mitochondrial translation,thin_vs_early,mitochondrial translation
GO:0000462,13,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",thin_vs_early,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0006006,13,glucose metabolic process,thin_vs_early,glucose metabolic process
GO:0006094,13,gluconeogenesis,thin_vs_early,gluconeogenesis
GO:0006099,12,tricarboxylic acid cycle,thin_vs_early,tricarboxylic acid cycle
GO:0006886,12,intracellular protein transport,thin_vs_early,intracellular protein transport
GO:0007059,12,chromosome segregation,thin_vs_early,chromosome segregation
GO:0016192,12,vesicle-mediated transport,thin_vs_early,vesicle-mediated transport
GO:0000082,11,G1/S transition of mitotic cell cycle,thin_vs_early,G1/S transition of mitotic cell cycle
GO:0008643,11,carbohydrate transport,thin_vs_early,carbohydrate transport
GO:0009060,11,aerobic respiration,thin_vs_early,aerobic respiration
GO:0061620,11,glycolytic process through glucose-6-phosphate,thin_vs_early,glycolytic process through glucose-6-phosphate
GO:0006098,10,pentose-phosphate shunt,thin_vs_early,pentose-phosphate shunt
GO:0006995,10,cellular response to nitrogen starvation,thin_vs_early,cellular response to nitrogen starvation
GO:0015755,10,fructose transmembrane transport,thin_vs_early,fructose transmembrane transport
GO:0015761,10,mannose transmembrane transport,thin_vs_early,mannose transmembrane transport
GO:0000722,9,telomere maintenance via recombination,thin_vs_early,telomere maintenance via recombination
GO:0006696,9,ergosterol biosynthetic process,thin_vs_early,ergosterol biosynthetic process
GO:0006754,9,ATP biosynthetic process,thin_vs_early,ATP biosynthetic process
