ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0055085,transmembrane transport,226/2001,486/6449,0.46502057613168724,1.4987094929901306,7.668087051360164,7.447046253766581e-14,1.2779131371463453e-10,1.1107857412197101e-10,YJR152W/YHR094C/YOR273C/YNR072W/YGR125W/YJL212C/YER103W/YER053C/YPR191W/YOL126C/YKR093W/YML081C-A/YJR121W/YGL008C/YDR345C/YGL253W/YHL016C/YMR319C/YCR011C/YNL142W/YKL016C/YDR529C/YNL101W/YPL271W/YDR406W/YMR088C/YGR243W/YDR536W/YPR115W/YJR095W/YLR152C/YER056C/YPL092W/YOL077W-A/YDL210W/YEL069C/YBL030C/YLR092W/YOR020C/YKR039W/YKL195W/YPR194C/YBR235W/YKL217W/YJL166W/YEL063C/YAL005C/YLR447C/YLR004C/Q0045/YDR343C/YOL130W/YGR260W/YOR306C/YNL121C/YPL274W/YGR240C/YFL050C/YJR045C/YNL305C/YLL024C/YGL139W/YPL006W/YOR348C/YHL008C/YLR411W/YDR119W/YLR237W/YKL197C/YOR045W/YGR138C/YDR322C-A/YDR338C/YBL099W/YHL028W/YLR295C/YOR390W/Q0105/YMR155W/YOR065W/YIL047C/YPL265W/YBR043C/YMR256C/YNL055C/YJL034W/YNL329C/YLR259C/YGR281W/Q0085/YMR205C/YGR217W/YDR086C/YPR124W/YOL075C/YNL065W/YOR011W/YDL206W/YLR378C/YCR037C/YBR298C/YNL070W/YAL053W/YDL138W/YBR295W/YOR161C/YHR039C-A/YJL193W/YOR232W/YJR106W/YER019C-A/YKL073W/YDR270W/YPR020W/YKL175W/YGL077C/YDR342C/YGL191W/YMR221C/YHL036W/YCL038C/YHR092C/YPL063W/YEL065W/YOL027C/YFR033C/YER039C/YOR270C/YPR058W/YNR055C/YPR156C/YGR191W/YPL221W/YHR162W/YKR016W/YLL015W/YIL088C/YJL129C/YEL027W/YLR188W/YML123C/YCR098C/YIL013C/Q0250/YOR328W/YGR257C/YPR024W/YIR028W/YDL185W/YGL186C/YER060W/YNR017W/YCR075C/YLR241W/YIL166C/YKL120W/YCL025C/YLR348C/YFL054C/YLL055W/YMR279C/YPR133W-A/YKR103W/Q0060/YJL198W/YGL114W/YOL158C/YOR271C/YCL005W-A/YCR023C/YHL040C/Q0275/YCR028C/YDL054C/YLL053C/YEL006W/YPR021C/YMR056C/YEL064C/YDL092W/YHL035C/YPL189W/YDR135C/YJR077C/Q0130/YBL042C/YDR205W/YIL022W/YFL055W/YMR058W/YOL137W/YGL255W/YIL090W/YHR175W/YGL080W/YOR100C/YNR070W/YIL114C/YPL036W/YML055W/YJL093C/YBR091C/YMR054W/YDL245C/YML116W/YBR180W/YDR160W/YLR138W/YJL108C/YKR105C/YHR002W/YBR021W/YOL044W/YOR365C/YBR220C/YOR079C/YJR124C/YKR104W/YBR296C/YPR192W/YKL084W/YPL098C/YAR035W/YPR201W/YFL040W/YPL279C,226
GO:0019318,hexose metabolic process,57/2001,98/6449,0.5816326530612245,1.8745372211853257,5.850917158837059,2.0336197504764857e-8,1.5900475046016216e-5,1.3820987081465452e-5,YJL052W/YNR071C/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YOL126C/YKR097W/YGL253W/YLR377C/YMR145C/YMR105C/YGR254W/YMR280C/YJR159W/YOR047C/YOR374W/YLR134W/YBR196C/YNL241C/YML051W/YMR170C/YGL156W/YGR240C/YDR511W/YJL089W/YDL055C/YHR043C/YPL061W/YOL086C/YDR050C/YGL062W/YMR205C/YGL227W/YBR218C/YJL155C/YLR446W/YLR044C/YMR303C/YOL136C/YML028W/YBR058C/YIL107C/YPR183W/YER073W/YDL021W/YPL248C/YDR081C/YDL085W/YGR066C/YOL056W/YJR030C/YDL189W/YOR347C/YBR019C,57
GO:0005975,carbohydrate metabolic process,130/2001,281/6449,0.4626334519572954,1.4910160578073954,5.644563226178726,3.166066344097075e-8,1.5900475046016216e-5,1.3820987081465452e-5,YJL052W/YNR071C/YNR073C/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YOL126C/YKR097W/YGL253W/YLR377C/YGR143W/YER065C/YFR015C/YMR145C/YMR105C/YGR254W/YMR280C/YDR420W/YIL053W/YPL201C/YGR043C/YJR159W/YEL070W/YHL032C/YOR047C/YIL123W/YHR183W/YLL026W/YNR067C/YOR374W/YLR134W/YBR196C/YIR031C/YNL241C/YNR001C/YML051W/YMR170C/YGL156W/YCL018W/YKR042W/YAL017W/YGR240C/YGR189C/YPL075W/YDR511W/YJL089W/YDL055C/YHR043C/YPL061W/YOL086C/YMR305C/YJL034W/YDR050C/YGL062W/YFR017C/YJR096W/YMR205C/YNL117W/YBR298C/YGL227W/YCR005C/YER054C/YBR299W/YBR218C/YOL030W/YFR003C/YJL155C/YLR446W/YLR044C/YMR303C/YLR300W/YGR279C/YER129W/YOL136C/YML028W/YDR017C/YIL155C/YMR164C/YLR286C/YJL137C/YMR311C/YBR058C/YBR056W/YOR344C/YIL107C/YGL027C/YGR032W/YLR174W/YBR053C/YER133W/YBR229C/YNL242W/YPR183W/YJL216C/YLR144C/YKR058W/YIL162W/YER073W/YML070W/YDL021W/YEL011W/YPL248C/YDR081C/YDL085W/YBR297W/YDL049C/YDR221W/YOL132W/YOR190W/YHR204W/YPR159W/YGR066C/YDR109C/YJL221C/YFR021W/YLR342W/YOL056W/YJR030C/YGR287C/YFL053W/YGR292W/YFR042W/YDL189W/YOR347C/YPL227C/YBR019C/YMR323W,130
GO:0006811,monoatomic ion transport,110/2001,230/6449,0.4782608695652174,1.5413814831714578,5.60738927415598,4.313609710420254e-8,1.5900475046016216e-5,1.3820987081465452e-5,YHR094C/YNR072W/YER053C/YPR191W/YML081C-A/YJR121W/YGL008C/YDR345C/YMR319C/YKL016C/YDR529C/YPL271W/YDR536W/YOL077W-A/YLL009C/YEL069C/YBL030C/YLR092W/YBR235W/YKL217W/YJL166W/YLR447C/YOR381W/Q0045/YDR343C/YOL130W/YGR240C/YFL050C/YNL305C/YHL008C/YLR411W/YDR322C-A/YBL099W/YLR295C/YOR390W/YLR214W/Q0105/YOR065W/YMR256C/YNL055C/YGR281W/Q0085/YMR205C/YGR217W/YPR124W/YDL206W/YBR298C/YDL138W/YBR295W/YHR039C-A/YOR384W/YJR106W/YDR270W/YPR020W/YKL175W/YDR342C/YGL191W/YHR092C/YOL152W/YEL065W/YOL027C/YFR033C/YOR270C/YNR055C/YBR290W/YGR191W/YLL051C/YAL048C/YLL015W/YJL129C/YEL027W/YML123C/Q0250/YDL185W/YLR241W/Q0060/YOL158C/YOR271C/YCL005W-A/YCR023C/YHL040C/Q0275/YOR383C/YDR107C/YDR506C/YMR056C/YDR135C/YNL259C/YER113C/Q0130/YDR205W/YMR058W/YGL255W/YHR175W/YLR443W/YIL114C/YPL036W/YLR047C/YJL093C/YLR083C/YMR054W/YDL245C/YOR382W/YLR138W/YMR034C/YOR079C/YBR296C/YPR201W/YDR534C/YPL279C,110
GO:0006007,glucose catabolic process,25/2001,32/6449,0.78125,2.517881684157921,5.772986732948592,5.149570639255709e-8,1.5900475046016216e-5,1.3820987081465452e-5,YJL052W/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YGL253W/YLR377C/YGR254W/YOR374W/YLR134W/YBR196C/YMR170C/YGR240C/YPL061W/YOL086C/YDR050C/YMR205C/YLR044C/YMR303C/YER073W/YDL021W/YOL056W/YOR347C,25
GO:0005996,monosaccharide metabolic process,60/2001,107/6449,0.5607476635514018,1.8072272275077415,5.647135928917234,5.559606659446229e-8,1.5900475046016216e-5,1.3820987081465452e-5,YJL052W/YNR071C/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YOL126C/YKR097W/YGL253W/YLR377C/YMR145C/YMR105C/YGR254W/YMR280C/YJR159W/YOR047C/YOR374W/YLR134W/YBR196C/YNL241C/YML051W/YMR170C/YGL156W/YGR240C/YDR511W/YJL089W/YDL055C/YHR043C/YPL061W/YOL086C/YDR050C/YGL062W/YJR096W/YMR205C/YGL227W/YBR218C/YJL155C/YLR446W/YLR044C/YMR303C/YOL136C/YML028W/YBR058C/YIL107C/YBR053C/YPR183W/YER073W/YDL021W/YPL248C/YDR081C/YDL085W/YGR066C/YDR109C/YOL056W/YJR030C/YDL189W/YOR347C/YBR019C,60
GO:0006006,glucose metabolic process,46/2001,77/6449,0.5974025974025974,1.9253619943275115,5.478640542651254,1.5779807586589857e-7,3.5042481392866434e-5,3.0459573140529835e-5,YJL052W/YNR071C/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YOL126C/YKR097W/YGL253W/YLR377C/YMR145C/YMR105C/YGR254W/YMR280C/YOR047C/YOR374W/YLR134W/YBR196C/YNL241C/YMR170C/YGR240C/YDR511W/YJL089W/YHR043C/YPL061W/YOL086C/YDR050C/YGL062W/YMR205C/YGL227W/YBR218C/YJL155C/YLR446W/YLR044C/YMR303C/YML028W/YBR058C/YER073W/YDL021W/YDR081C/YDL085W/YGR066C/YOL056W/YOR347C,46
GO:0006113,fermentation,27/2001,37/6449,0.7297297297297297,2.351837594716155,5.530727925844478,1.7511201471371103e-7,3.5042481392866434e-5,3.0459573140529835e-5,YJL052W/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YGL253W/YLR377C/YMR145C/YGR254W/YOR374W/YLR134W/YBR196C/YMR170C/YPL061W/YOL086C/YLR087C/YDR050C/YLR044C/YMR303C/YER073W/YML070W/YDR081C/YDL085W/YFL053W/YOR347C,27
GO:0019320,hexose catabolic process,30/2001,43/6449,0.6976744186046512,2.248526899341027,5.509248139345877,1.837892380744743e-7,3.5042481392866434e-5,3.0459573140529835e-5,YJL052W/YNR071C/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YGL253W/YLR377C/YMR105C/YGR254W/YOR374W/YLR134W/YBR196C/YMR170C/YGL156W/YGR240C/YPL061W/YOL086C/YDR050C/YMR205C/YLR044C/YMR303C/YER073W/YDL021W/YOL056W/YJR030C/YOR347C/YBR019C,30
GO:0006091,generation of precursor metabolites and energy,109/2001,233/6449,0.4678111587982833,1.5077032299300994,5.29402579884825,2.1062388605540403e-7,3.614305884710733e-5,3.141621542531658e-5,YJL052W/YCR012W/YGR087C/YKL152C/YHR174W/YKL060C/YAL038W/YPR191W/YOL126C/YJR121W/YGL253W/YPL262W/YLR377C/YMR002W/YER065C/YDR529C/YPL271W/YKL085W/YFR015C/YKL148C/YMR145C/YMR105C/YBR117C/YGR254W/YBL030C/YER067W/YJR120W/YJL116C/YGR043C/YFL018C/YJL166W/YHR183W/YOR374W/YLR134W/YBR196C/Q0045/YIR031C/YNL241C/YEL039C/YNR001C/YMR170C/YAL017W/YGR240C/YMR030W/YPL075W/YLR164W/YNL071W/YNL037C/YPL061W/YOL086C/Q0105/YOR065W/YLR087C/YMR256C/YDR050C/YGL062W/YFR017C/YMR205C/YDR148C/YNL117W/YCR005C/YJL045W/YER054C/YNR074C/YBR218C/YBR238C/YOR355W/YLR256W/YPR140W/YFR003C/YGL191W/YLR446W/YLR044C/YMR303C/YFR033C/YMR315W/YER129W/YOL136C/YJL137C/YMR311C/YMR118C/YOR344C/YFR049W/Q0250/YLR174W/YOR002W/YER133W/YDR031W/YNL242W/YKR058W/Q0060/YMR081C/YER073W/YML070W/YDL021W/YEL011W/Q0275/YDR081C/YIL057C/YMR056C/YDL085W/YPL252C/YFR021W/YLR154W-C/YOL056W/YFL053W/YOR347C/YKL055C/YMR323W,109
