ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005975,carbohydrate metabolic process,99/877,281/6449,0.35231316725978645,2.5907270417997292,10.816416416323502,3.7205684521143965e-21,5.83013076446326e-18,5.048223931342587e-18,YGR087C/YKR097W/YNR073C/YJL052W/YLR377C/YNR071C/YNR001C/YOL126C/YMR145C/YIL053W/YKL152C/YNR067C/YCR012W/YGR256W/YOL086C/YJL034W/YIL045W/YLR044C/YKL060C/YBR196C/YDL055C/YDR074W/YJR096W/YFR015C/YOR047C/YLR446W/YMR305C/YMR170C/YGL062W/YGR248W/YJR009C/YAL038W/YOR393W/YLR174W/YPR184W/YHR174W/YPL201C/YOL059W/YER062C/YPL061W/YKL035W/YCL018W/YHL032C/YER065C/YCL040W/YLR300W/YBR299W/YPR026W/YBR126C/YML070W/YGR143W/YDR050C/YDL022W/YIL155C/YER003C/YHR104W/YEL070W/YMR278W/YGR043C/YML100W/YPR001W/YGR189C/YMR215W/YHR183W/YIL162W/YLR134W/YJL200C/YFR053C/YPL075W/YMR205C/YDL021W/YBR297W/YKL038W/YGL253W/YBR239C/YLR304C/YGR240C/YFR042W/YNL241C/YIL099W/YPL227C/YHR043C/YKR058W/YDL049C/YDL085W/YNR034W/YOR095C/YMR323W/YFR021W/YOR344C/YOR347C/YJR030C/YOL132W/YIL123W/YCR073W-A/YHR210C/YFL053W/YGR287C/YGR292W,99
GO:0046496,nicotinamide nucleotide metabolic process,43/877,81/6449,0.5308641975308642,3.903698072835283,10.432759491509415,2.3001711961598418e-17,1.802184132191236e-14,1.560484564131598e-14,YJL052W/YLR377C/YKL152C/YCR012W/YGR256W/YKL060C/YBR196C/YLR446W/YGR248W/YJR009C/YAL038W/YOR393W/YLR174W/YHR174W/YLR231C/YPL061W/YMR315W/YNL129W/YCL040W/YDR050C/YIL155C/YBR117C/YNL200C/YGR043C/YHR183W/YFR053C/YPL075W/YMR205C/YHR202W/YDL021W/YGL253W/YPR074C/YGR240C/YNL241C/YOR222W/YJR078W/YNR034W/YOR095C/YMR323W/YOR344C/YOR347C/YCL047C/YCR073W-A,43
GO:0006091,generation of precursor metabolites and energy,81/877,233/6449,0.34763948497854075,2.5563592230634087,9.599288813968181,4.907292829594369e-17,2.5632426213247924e-14,2.2194738446832078e-14,YGR087C/YJL052W/YLR377C/YPL262W/YNR001C/YOL126C/YMR145C/YKL152C/YMR118C/YCR012W/YGR256W/YOL086C/YIL045W/YLR044C/YKL060C/YBR196C/YMR002W/YFR015C/YLR446W/YMR170C/YGL062W/YJL116C/YGR248W/YJR009C/YAL038W/YOR393W/YLR174W/YLR164W/YPR184W/YHR174W/YPL061W/YKL035W/YJR121W/YPL271W/YMR315W/YNL037C/YLR038C/YER065C/YCL040W/YIL111W/YDR529C/YJR048W/YML070W/YDR050C/YDL067C/YBR117C/YGR043C/YPR001W/YJL166W/YHR183W/YJR120W/YLR134W/YJL200C/YFR053C/YNL052W/YPL075W/YFR049W/YMR205C/YIL070C/YDL021W/YBR238C/YGL253W/YPR074C/YLR395C/YMR256C/YLR304C/YGR240C/YNL241C/YIL099W/YOR356W/YKR058W/YDL085W/YNR034W/YOR095C/YMR323W/YFR021W/YOR344C/YOR347C/YCR073W-A/YFL053W/YPL252C,81
GO:0006163,purine nucleotide metabolic process,57/877,137/6449,0.41605839416058393,3.0594761504465287,9.665855819354487,2.784586588146729e-16,9.469233601796068e-14,8.199269212182267e-14,YJL052W/YLR377C/YKL016C/YKL152C/YCR012W/YGR256W/YKL060C/YBR196C/YLR446W/YJL116C/YGR248W/YJR009C/YAL038W/YOR393W/YLR174W/YLR295C/YHR174W/YLR231C/YPL061W/YJR121W/YPL271W/YMR315W/YKL001C/YNL129W/YML081C-A/YCL040W/YDR322C-A/YPR020W/YDL004W/YDR050C/YIL155C/YBR117C/YGR043C/YHR183W/YJR010W/YFR053C/YPL075W/YMR205C/YHR202W/YDL021W/YOL077W-A/YGL253W/YPR074C/YKR080W/YGR240C/YNL241C/YOR222W/YOR128C/YJR078W/YNR034W/YOR095C/YMR323W/YML022W/YOR344C/YOR347C/YCL047C/YCR073W-A,57
GO:0055085,transmembrane transport,131/877,486/6449,0.26954732510288065,1.9821102617884576,8.932082712396822,3.0214529680268246e-16,9.469233601796068e-14,8.199269212182267e-14,YHR094C/YNR072W/YOR273C/YDR406W/YDR345C/YJL212C/YDR536W/YDL210W/YMR319C/YCL025C/YLR004C/YKL016C/YOL126C/YOR092W/YHL028W/YOR161C/YHR092C/YJL034W/YBR294W/YEL069C/YJR095W/YGR125W/YJL163C/YBR068C/YLR295C/YKR093W/YCR011C/YLR237W/YJR121W/YPL271W/YOR020C/YPR124W/YLR038C/YOR348C/YER103W/YML081C-A/YCL040W/YDR322C-A/YIL111W/YDR529C/YPL265W/YKL217W/YGR260W/YPR020W/YEL063C/YGR243W/YER053C/YDL004W/YOR306C/YDL245C/YCR098C/YNL065W/YDL022W/YDL067C/YDR342C/YLR152C/YPR115W/YGR191W/YAL067C/YKL073W/YJL166W/YBL075C/YHR096C/YFR053C/YOL075C/YBR235W/YNL052W/YMR205C/YOR254C/YGL008C/YML123C/YNL142W/YIR028W/YKL197C/YMR088C/YMR241W/YMR279C/YOL077W-A/YBR043C/YDR011W/YOR045W/YDR046C/YGL253W/YOL130W/YDR277C/YLR395C/YMR256C/YMR203W/YJR077C/YPL169C/YBR091C/YGR240C/YDR135C/YJL104W/YOR153W/YER119C/YDL138W/YLR378C/YGL114W/YGR239C/YOR222W/YDR343C/YAR035W/YBR069C/YLR008C/YNR002C/YGR121C/YDR338C/YHR160C/YCR037C/YMR301C/YEL065W/YER145C/YNL070W/YPL006W/YJL193W/YPL244C/YML038C/YHL036W/YCL038C/YOR390W/YOR071C/YDR508C/YPL274W/YGR224W/YNL270C/YGR055W/YLR136C/YPL098C/YJL214W/YBR296C,131
GO:0072521,purine-containing compound metabolic process,70/877,192/6449,0.3645833333333333,2.680955435195743,9.380597328152872,4.398204627509711e-16,1.1486644418846195e-13,9.9461153769474e-14,YJL052W/YLR377C/YNL141W/YNR001C/YKL016C/YKL152C/YCR012W/YGR256W/YKL060C/YBR196C/YLR446W/YMR170C/YJL116C/YGR248W/YJR009C/YAL038W/YOR393W/YLR174W/YLR295C/YHR174W/YLR231C/YOR317W/YPL061W/YJR121W/YPL271W/YMR315W/YML075C/YKL001C/YMR169C/YNL129W/YML081C-A/YDL238C/YCL040W/YDR322C-A/YPR020W/YDL004W/YDR050C/YIL155C/YBR117C/YMR278W/YGR043C/YHR183W/YJR010W/YFR053C/YMR207C/YPL075W/YMR205C/YIR028W/YHR202W/YDL021W/YOL077W-A/YGL253W/YPR074C/YGL126W/YKR080W/YGR240C/YNL241C/YIR027C/YJR019C/YOR222W/YOR128C/YJR078W/YNR034W/YOR095C/YMR323W/YML022W/YOR344C/YOR347C/YCL047C/YCR073W-A,70
GO:0072524,pyridine-containing compound metabolic process,45/877,95/6449,0.47368421052631576,3.483226309788153,9.673001509758768,1.1792106637431183e-15,2.639747300122095e-13,2.285718113631398e-13,YJL052W/YLR377C/YKL152C/YCR012W/YGR256W/YKL060C/YBR196C/YOR047C/YLR446W/YGR248W/YJR009C/YAL038W/YOR393W/YLR174W/YHR174W/YLR231C/YPL061W/YMR315W/YNL129W/YCL040W/YDR050C/YIL155C/YBR117C/YNL200C/YGR043C/YHR183W/YFR053C/YPL075W/YMR205C/YHR202W/YDL021W/YGL253W/YPR074C/YGR240C/YNL241C/YOR222W/YJR078W/YNR034W/YOR095C/YMR323W/YOR344C/YOR347C/YCL047C/YFL059W/YCR073W-A,45
GO:0046034,ATP metabolic process,32/877,54/6449,0.5925925925925926,4.357616453397525,9.829115696764969,4.406395204585325e-15,8.631026606981506e-13,7.473478182513795e-13,YJL052W/YLR377C/YKL016C/YKL152C/YCR012W/YKL060C/YBR196C/YLR446W/YJL116C/YJR009C/YAL038W/YOR393W/YLR295C/YHR174W/YJR121W/YPL271W/YML081C-A/YCL040W/YDR322C-A/YPR020W/YDL004W/YDR050C/YFR053C/YPL075W/YMR205C/YDL021W/YOL077W-A/YGL253W/YGR240C/YMR323W/YOR344C/YOR347C,32
GO:0043436,oxoacid metabolic process,109/877,387/6449,0.28165374677002586,2.0711345643328354,8.621807209221148,5.165072463764902e-15,8.992965056355114e-13,7.786875328412817e-13,YGR087C/YPL095C/YJL052W/YLR377C/YGL055W/YKR034W/YPL262W/YNR001C/YPR002W/YOL126C/YKR009C/YKL152C/YCR012W/YGR256W/YOL086C/YMR250W/YLR044C/YKL060C/YLR303W/YBR196C/YEL071W/YDR089W/YLR446W/YAL012W/YMR170C/YGL062W/YPL111W/YJR009C/YAL038W/YCL064C/YOR393W/YGR019W/YLR174W/YPR035W/YER052C/YHR205W/YHR174W/YLR231C/YOR317W/YOR391C/YPL061W/YPR167C/YCL018W/YMR272C/YNL037C/YKL001C/YMR169C/YER065C/YCL040W/YOR375C/YMR009W/YPR006C/YER010C/YNL217W/YBL015W/YDR050C/YOL058W/YJR148W/YGL205W/YDR380W/YLR372W/YDR354W/YLR142W/YEL020C/YGR124W/YPR001W/YHR183W/YLR134W/YJR010W/YJL200C/YFR053C/YMR207C/YPL075W/YFR049W/YMR205C/YGL148W/YLL062C/YML123C/YDL021W/YIL074C/YGL253W/YOL002C/YML054C/YER055C/YLR304C/YBR084W/YKR080W/YGR240C/YHR208W/YHR067W/YLR438W/YER061C/YPL028W/YPL017C/YJR019C/YAR035W/YIR017C/YJR078W/YJR137C/YCR037C/YMR323W/YNL229C/YOR344C/YOR347C/YPL275W/YCL026C-A/YIL160C/YDL219W/YCR034W,109
GO:0019320,hexose catabolic process,28/877,43/6449,0.6511627906976745,4.788311102861234,9.887651586193654,7.336749503465307e-15,1.0888358226450988e-12,9.428068218785694e-13,YGR087C/YJL052W/YLR377C/YNR071C/YKL152C/YCR012W/YOL086C/YLR044C/YKL060C/YBR196C/YMR170C/YJR009C/YAL038W/YHR174W/YPL061W/YCL040W/YDR050C/YER003C/YHR104W/YLR134W/YFR053C/YMR205C/YDL021W/YGL253W/YGR240C/YOR347C/YJR030C/YHR210C,28
