gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,GENENAME,COMMON,DESCRIPTION,SGD,UNIPROT,GO,ONTOLOGY,PATH,PFAM,INTERPRO
YGL055W,2517.495274297385,-4.867277785146078,0.14471008293127835,3.2146171261188273e-249,2.0300307151440395e-245,OLE1,OLE1,Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria,S000003023,A6ZUC1,GO:0000001;GO:0004768;GO:0005506;GO:0005783;GO:0005789;GO:0005829;GO:0006629;GO:0006631;GO:0006633;GO:0006636;GO:0009055;GO:0016020;GO:0016491;GO:0016717;GO:0020037;GO:0032896;GO:0046872,BP;CC;MF,01040,PF00173;PF00487,IPR001199;IPR001522;IPR005804;IPR009160;IPR015876;IPR018506
YJR152W,1324.0891065064263,-3.5321169692032828,0.14157389438046916,2.994823575909671e-138,9.456155440934787e-135,DAL5,DAL5,"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression",S000003913,B3LQN2,GO:0000324;GO:0005886;GO:0015124;GO:0015719;GO:0016020;GO:0022857;GO:0035442;GO:0042938;GO:0042939;GO:0055085;GO:0071916;GO:0071944,BP;CC;MF,,PF07690,IPR004744;IPR011701;IPR020846
YJL052W,13517.823772359174,-4.907477234868947,0.19959692036863938,1.2793324705919186e-134,2.6929948505959886e-131,TDH1,TDH1,"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; protein abundance increases in response to DNA replication stress; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bacteria",S000003588,A6ZPS3,GO:0004365;GO:0005737;GO:0005739;GO:0005811;GO:0005829;GO:0005886;GO:0006006;GO:0006094;GO:0006096;GO:0009277;GO:0016491;GO:0016620;GO:0019658;GO:0050661;GO:0051287;GO:0061620;GO:1904408,BP;CC;MF,00010;01100;01110,PF00044;PF02800,IPR006424;IPR016040;IPR020828;IPR020829;IPR020830;IPR020831
YHR094C,660.4973484542791,-4.901489493621572,0.20337528911661154,1.2011546654827172e-129,1.8963229281308398e-126,HXT1,HXT1,"Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication",S000001136,A6ZT03,GO:0005351;GO:0005353;GO:0005354;GO:0005886;GO:0008643;GO:0015146;GO:0015578;GO:0015750;GO:0015755;GO:0015757;GO:0015761;GO:0016020;GO:0022857;GO:0055056;GO:0055085;GO:0071944;GO:1902600;GO:1904659,BP;CC;MF,04113,PF00083,IPR003663;IPR005828;IPR005829;IPR020846
YIR019C,10042.679738022614,5.345010590968478,0.2286079058223124,7.410882549775766e-122,9.359944660366792e-119,FLO11,FLO11,"GPI-anchored cell surface glycoprotein (flocculin); required for pseudohyphal and invasive growth, flocculation, and biofilm formation; major determinant of colony morphology; QTL that controls chronological life span; carries intragenic tandem repeats that are expanded in different strains; required for formation of fibrous interconnections between cells; role in co-flocculation with other yeast species; cleaved and shed from cells, contributing to their surface properties",S000001458,A0A8H4BZA4,GO:0000128;GO:0000324;GO:0001403;GO:0003674;GO:0005576;GO:0005886;GO:0005935;GO:0007124;GO:0007155;GO:0016020;GO:0030447;GO:0043709;GO:0090606;GO:0098552;GO:0098609,BP;CC;MF,00500;01100,PF10182,IPR018789
YKL164C,412.7942694813679,4.230192845031966,0.18438014619953677,1.70717943721056e-117,1.7968063576641146e-114,PIR1,PIR1,"O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle; PIR1 has a paralog, YJL160C, that arose from the whole genome duplication",S000001647,A6ZZG0,GO:0005199;GO:0005621;GO:0006886;GO:0009277;GO:0031505;GO:0034399;GO:0071555,BP;CC;MF,,PF00399;PF22799,IPR000420
YNR071C,1229.402328294804,9.02140420496577,0.39852552551477954,9.405387413938055e-114,8.485003074145545e-111,NA,aldose 1-epimerase superfamily protein,Putative aldose 1-epimerase,S000005354,A6ZSE5,GO:0003674;GO:0003824;GO:0004034;GO:0005575;GO:0005975;GO:0006006;GO:0008150;GO:0016853;GO:0030246;GO:0033499,BP;CC;MF,,PF01263,IPR008183;IPR011013;IPR014718;IPR018052
YNR073C,2428.7212329508525,8.771363431490405,0.38972358432487053,3.722597018515173e-113,2.9385250214904145e-110,MAN2,MAN2,"Mannitol dehydrogenase; MAN2 has a paralog, DSF1, that arose from a segmental duplication",S000005356,A6ZSE7,GO:0003824;GO:0005575;GO:0008150;GO:0016491;GO:0019594;GO:0046029;GO:0050086,BP;CC;MF,,PF01232;PF08125,
YCR012W,3139.846656373584,-4.211698132038674,0.18967580871075765,2.232399155931348e-110,1.566400074411829e-107,PGK1,PGK1,"3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis",S000000605,A6ZTJ3,GO:0000166;GO:0004618;GO:0005524;GO:0005737;GO:0005739;GO:0005829;GO:0005886;GO:0006094;GO:0006096;GO:0016301;GO:0016740;GO:0019658;GO:0043531;GO:0046872;GO:0061620,BP;CC;MF,00010;01100;01110,PF00162,IPR001576;IPR015824;IPR015901;IPR015911
YGR087C,496.99608579926695,-4.604625071452028,0.2077963609169745,1.5373476931821438e-109,9.708350682445238e-107,PDC6,PDC6,"Minor isoform of pyruvate decarboxylase; decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism; transcription is glucose- and ethanol-dependent, and is strongly induced during sulfur limitation",S000003319,A0A0L8VQ53,GO:0000287;GO:0000949;GO:0000955;GO:0003824;GO:0004737;GO:0005634;GO:0005737;GO:0005829;GO:0006067;GO:0006550;GO:0006559;GO:0006569;GO:0006572;GO:0006574;GO:0009083;GO:0016829;GO:0016831;GO:0019658;GO:0030976;GO:0045151;GO:0046872;GO:0047433;GO:0047434;GO:0050177;GO:0050546;GO:1902652,BP;CC;MF,00010;01100;01110,PF00205;PF02775;PF02776,IPR000399;IPR011766;IPR012000;IPR012001;IPR012110;IPR029035;IPR029061
YOR273C,492.9408564932031,-4.505475329688485,0.20411444828926167,1.2537440763672566e-108,7.197630765690205e-106,TPO4,TPO4,"Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane",S000005799,D6W2X3,GO:0000296;GO:0000297;GO:0000329;GO:0005886;GO:0015297;GO:0015606;GO:0015848;GO:0016020;GO:0022857;GO:0055085;GO:0071944;GO:1903710;GO:1903711,BP;CC;MF,,PF07690,IPR005829;IPR011701;IPR020846
YNR072W,906.0336029575863,5.490765549568993,0.2578307076618711,1.0370600921285259e-101,5.457528734826367e-99,HXT17,HXT17,"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by raffinose and galactose at pH 7.7 versus pH 4.7, repressed by high levels of glucose; HXT17 has a paralog, HXT13, that arose from a segmental duplication",S000005355,A0A0L8VJB7,GO:0000324;GO:0005351;GO:0005353;GO:0005886;GO:0008643;GO:0008645;GO:0015578;GO:0015755;GO:0015761;GO:0015795;GO:0015797;GO:0016020;GO:0022857;GO:0055056;GO:0055085;GO:0071944;GO:1902600,BP;CC;MF,04113,PF00083,IPR003663;IPR005828;IPR005829;IPR020846
YNL036W,620.576575575654,4.176318633956341,0.20322849093583087,1.0630134452856745e-94,5.163792236137719e-92,NCE103,NCE103,"Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress",S000004981,A0A0L8VIR4,GO:0004089;GO:0005634;GO:0005737;GO:0005758;GO:0008270;GO:0015976;GO:0016829;GO:0034599;GO:0046872;GO:0071244,BP;CC;MF,,PF00484,IPR001765;IPR015892
YKL152C,1800.1928828370794,-2.7568000253883587,0.1351673967301611,2.085120061713242e-93,9.405380849799373e-91,GPM1,GPM1,Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis,S000001635,A0A0L8VMF6,GO:0003824;GO:0004619;GO:0005737;GO:0005739;GO:0005741;GO:0005758;GO:0005829;GO:0006094;GO:0006096;GO:0016853;GO:0016868;GO:0019658;GO:0061620;GO:0061621,BP;CC;MF,00010;00680;01100;01110,PF00300,IPR001345;IPR005952;IPR013078;IPR029033
YNR034W-A,5553.20564900625,6.462715854198695,0.32156288786937925,4.587093378936488e-91,1.9311663125322617e-88,EGO4,EGO4,"Protein of unknown function; expressed during diauxic shift and stationary phase, and negatively regulated by glucose; expression is regulated by Msn2p/Msn4p; overexpression slows down progression through meiosis and improves fermentative efficiency; YNR034W-A has a paralog, YCR075W-A, that arose from the whole genome duplication",S000007525,A0A0L8VJT1,GO:0003674;GO:0005737;GO:0005829;GO:0008150,BP;CC;MF,,,IPR021591
YGR125W,1062.9971685258756,-2.749801615464157,0.13739584455480108,4.988321659377532e-90,1.9688282049355696e-87,VSB1,VSB1,"Vacuolar membrane protein required for uptake and storage of arginine in nitrogen-replete cells; nitrogen starvation appears to inhibit Vsb1-dependent activity, resulting in mobilization of stored vacuolar arginine to the cytosol; arginine uptake appears to be driven by a V-ATPase mediated H+ gradient; member of the APC (amino acid-polyamine-organocation) transporter superfamily",S000003357,A6ZUD9,GO:0000324;GO:0000329;GO:0005774;GO:0006865;GO:0016020;GO:0022857;GO:0034490;GO:0034618;GO:0055085,BP;CC;MF,,PF00916;PF01740,IPR000595;IPR001902;IPR002645;IPR003103;IPR011547;IPR014710;IPR018490
