gene_id,GENENAME,COMMON,DESCRIPTION,SGD,UNIPROT,GO,ONTOLOGY,PATH,PFAM,INTERPRO
Q0010,NA,ORF6,"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017",S000007257,NA,,,,,
Q0045,COX1,COX1,"Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits; number of introns in different strains varies from 2 to 8, with most strains having 4-6 introns",S000007260,A0A0A7NYF6,GO:0004129;GO:0005739;GO:0005743;GO:0006119;GO:0006123;GO:0009060;GO:0016020;GO:0020037;GO:0022904;GO:0045277;GO:0046872;GO:1902600,BP;CC;MF,00190;01100,PF00115,IPR000883;IPR023615;IPR023616;IPR033944
Q0060,AI3,AI3,Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene,S000007263,A0A0A7P044,GO:0004129;GO:0004518;GO:0004519;GO:0005739;GO:0006314;GO:0006397;GO:0008150;GO:0008380;GO:0009060;GO:0016020;GO:0016787;GO:0020037;GO:0022904;GO:0045277;GO:1902600,BP;CC;MF,,PF00115;PF00961,IPR000883;IPR004860;IPR023616;IPR027434
Q0070,AI5_ALPHA,AI5_ALPHA,Endonuclease I-SceIV; involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene,S000007265,A0A0A7NYD1,GO:0004129;GO:0004518;GO:0004519;GO:0005739;GO:0006314;GO:0006316;GO:0006397;GO:0008380;GO:0009060;GO:0016020;GO:0016787;GO:0020037;GO:0022904;GO:0045277;GO:1902600,BP;CC;MF,00190;01100,PF00115;PF03161,IPR000883;IPR004860;IPR023615;IPR023616;IPR027434
Q0075,AI5_BETA,AI5_BETA,Protein of unknown function; encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG,S000007266,A0A0A7NYD5,GO:0003674;GO:0004518;GO:0004519;GO:0005739;GO:0006314;GO:0008150;GO:0016787,BP;CC;MF,,PF00961,IPR004860;IPR027434
Q0080,ATP8,ATP8,Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase,S000007267,A0A0A7P362,GO:0005739;GO:0006754;GO:0006811;GO:0015078;GO:0015986;GO:0031966;GO:0045259;GO:0046933;GO:1902600,BP;CC;MF,00190;01100,PF05933,IPR009230
Q0085,ATP6,ATP6,"Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia",S000007268,A0A0A7P052,GO:0005739;GO:0005743;GO:0006754;GO:0006811;GO:0015078;GO:0015986;GO:0045259;GO:0046933;GO:1902600,BP;CC;MF,00190;01100,PF00119,IPR000568;IPR023011
Q0105,COB,COB,"Cytochrome b; mitochondrially-encoded subunit of ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p; number of introns varies between strains from 0 to 6, with most having 5",S000007270,A0A0A7NYK0,GO:0005739;GO:0005743;GO:0006122;GO:0008121;GO:0009055;GO:0009060;GO:0016020;GO:0016491;GO:0022904;GO:0045275;GO:0046872;GO:1902600,BP;CC;MF,00190;01100,PF00032;PF00033,IPR005797;IPR005798;IPR016174;IPR027387;IPR030689
Q0110,BI2,BI2,Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA,S000007271,A0A0A7P383,GO:0004518;GO:0004519;GO:0005739;GO:0005743;GO:0006122;GO:0006397;GO:0008380;GO:0009055;GO:0016020;GO:0016491;GO:0022904,BP;CC;MF,00190;01100,PF00033;PF03161,IPR004860;IPR005797;IPR016174;IPR027387;IPR027434
Q0115,BI3,BI3,Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA,S000007272,A0A0A7NYF0,GO:0000372;GO:0003723;GO:0004519;GO:0005739;GO:0005743;GO:0006122;GO:0006397;GO:0008380;GO:0009055;GO:0016020;GO:0016491;GO:0022904;GO:0090615,BP;CC;MF,00190;01100,PF00033;PF00961,IPR004860;IPR005797;IPR016174;IPR027387;IPR027434
