gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENENAME,COMMON,DESCRIPTION,SGD,UNIPROT,GO,ONTOLOGY,PATH,PFAM,INTERPRO
YEL070W,498.859179390311,4.820619301434374,0.23266000744159657,20.719587153991082,2.3065458878312845e-95,1.4565837281654563e-91,DSF1,DSF1,"Mannitol dehydrogenase; deletion suppresses mutation of mpt5; DSF1 has a paralog, MAN2, that arose from a segmental duplication",S000000796,A6ZSE7,GO:0003824;GO:0005575;GO:0008150;GO:0016491;GO:0019594;GO:0046029;GO:0050086,BP;CC;MF,00051,PF01232;PF08125,IPR000669;IPR008927;IPR013118;IPR013131;IPR013328;IPR016040;IPR023027
YPR127W,411.3693456717643,3.741384258710144,0.1890130080084357,19.79432155559984,3.332082778760703e-87,1.052105137393692e-83,NA,pyridoxine 4-dehydrogenase,Putative pyridoxine 4-dehydrogenase; differentially expressed during alcoholic fermentation; expression activated by transcription factor YRM1/YOR172W; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,S000006331,A6ZX06,GO:0003674;GO:0005634;GO:0005737;GO:0008106;GO:0008150;GO:0016491;GO:0042820;GO:0050236,BP;CC;MF,00750;01100,PF00248,IPR001395;IPR023210
YLR178C,1022.9308336059019,4.020927222053756,0.20568533630854832,19.54892504355278,4.2130475597992594e-85,8.868465113377441e-82,TFS1,TFS1,"Inhibitor of carboxypeptidase Y (Prc1p), and Ras GAP (Ira2p); phosphatidylethanolamine-binding protein (PEBP) family member and ortholog of hPEBP1/RKIP, a natural metastasis suppressor; targets to vacuolar membranes during stationary phase; acetylated by NatB N-terminal acetyltransferase; protein abundance increases in response to DNA replication stress",S000004168,A7A169,GO:0000328;GO:0000329;GO:0004867;GO:0005543;GO:0005737;GO:0030162;GO:0030414;GO:0046578,BP;CC;MF,,PF01161,IPR001858;IPR008914
YGL055W,2517.495274297385,-2.74801073303993,0.14587668937469472,-18.837901688195483,3.693194198797384e-79,5.83063034135137e-76,OLE1,OLE1,Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria,S000003023,A6ZUC1,GO:0000001;GO:0004768;GO:0005506;GO:0005783;GO:0005789;GO:0005829;GO:0006629;GO:0006631;GO:0006633;GO:0006636;GO:0009055;GO:0016020;GO:0016491;GO:0016717;GO:0020037;GO:0032896;GO:0046872,BP;CC;MF,01040,PF00173;PF00487,IPR001199;IPR001522;IPR005804;IPR009160;IPR015876;IPR018506
YJR152W,1324.0891065064263,-2.6054678743748623,0.14242537957245469,-18.29356454724706,9.31217989955437e-75,1.1761283213137168e-71,DAL5,DAL5,"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression",S000003913,B3LQN2,GO:0000324;GO:0005886;GO:0015124;GO:0015719;GO:0016020;GO:0022857;GO:0035442;GO:0042938;GO:0042939;GO:0055085;GO:0071916;GO:0071944,BP;CC;MF,,PF07690,IPR004744;IPR011701;IPR020846
YDR070C,1165.8593178069418,4.776126217369619,0.263642856623277,18.115894655906768,2.3875958691520607e-73,2.1877573013862198e-70,FMP16,FMP16,"Protein of unknown function; may be involved in responding to conditions of stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress",S000002477,A0A0L8VTH7,GO:0003674;GO:0005739;GO:0008150,BP;CC;MF,,,
YKL164C,412.7942694813679,2.9654492734957327,0.16370097228844055,18.115037632584254,2.4250674758042025e-73,2.1877573013862198e-70,PIR1,PIR1,"O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle; PIR1 has a paralog, YJL160C, that arose from the whole genome duplication",S000001647,A6ZZG0,GO:0005199;GO:0005621;GO:0006886;GO:0009277;GO:0031505;GO:0034399;GO:0071555,BP;CC;MF,,PF00399;PF22799,IPR000420
YDR085C,283.4572841254055,3.8722951000358212,0.21670728562446456,17.868781332742923,2.064553945556605e-71,1.629707270773745e-68,AFR1,AFR1,"Protein required for pheromone-induced projection (shmoo) formation; regulates septin architecture during mating; has an RVXF motif that mediates targeting of Glc7p to mating projections; also detected in peroxisomes; interacts with Cdc12p; AFR1 has a paralog, YER158C, that arose from the whole genome duplication",S000002492,B3LGI6,GO:0000753;GO:0001400;GO:0003674;GO:0003779;GO:0005777;GO:0007618;GO:0030036;GO:0032185;GO:0097271,BP;CC;MF,,,
YBR286W,1225.664215689205,2.4426257402401537,0.14196577282694356,17.205736929405635,2.4049771026659247e-66,1.6874922670372572e-63,APE3,APE3,Vacuolar aminopeptidase Y; processed to mature form by Prb1p; targeted to vacuole via Vps10p-dependent endosomal vacuolar protein sorting pathway,S000000490,B3LMM7,GO:0000324;GO:0004177;GO:0005773;GO:0006508;GO:0007039;GO:0008233;GO:0008235;GO:0008237;GO:0008270;GO:0016787;GO:0046872,BP;CC;MF,,PF02225;PF04389,IPR003137;IPR007484;IPR029514
YGR043C,431.2888289132707,3.5591373033854046,0.2131481736929282,16.697948857459476,1.3564833514001702e-62,8.566192364092075e-60,NQM1,NQM1,"Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift; NQM1 has a paralog, TAL1, that arose from the whole genome duplication",S000003275,A0A0L8VQC7,GO:0004801;GO:0005634;GO:0005737;GO:0005975;GO:0006098;GO:0009052;GO:0016740;GO:0034599,BP;CC;MF,00030;01100;01110,PF00923,IPR001585;IPR004730;IPR013785;IPR018225
