gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,GENENAME,COMMON,DESCRIPTION,SGD,UNIPROT,GO,ONTOLOGY,PATH,PFAM,INTERPRO
YGR087C,496.99608579926695,-4.873130488580765,0.19090423346728286,9.814012728063272e-145,6.197549037771957e-141,PDC6,PDC6,"Minor isoform of pyruvate decarboxylase; decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism; transcription is glucose- and ethanol-dependent, and is strongly induced during sulfur limitation",S000003319,A0A0L8VQ53,GO:0000287;GO:0000949;GO:0000955;GO:0003824;GO:0004737;GO:0005634;GO:0005737;GO:0005829;GO:0006067;GO:0006550;GO:0006559;GO:0006569;GO:0006572;GO:0006574;GO:0009083;GO:0016829;GO:0016831;GO:0019658;GO:0030976;GO:0045151;GO:0046872;GO:0047433;GO:0047434;GO:0050177;GO:0050546;GO:1902652,BP;CC;MF,00010;01100;01110,PF00205;PF02775;PF02776,IPR000399;IPR011766;IPR012000;IPR012001;IPR012110;IPR029035;IPR029061
YHR094C,660.4973484542791,-4.088131867535196,0.17992003415716176,2.4742161823166685e-115,7.812337595664881e-112,HXT1,HXT1,"Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication",S000001136,A6ZT03,GO:0005351;GO:0005353;GO:0005354;GO:0005886;GO:0008643;GO:0015146;GO:0015578;GO:0015750;GO:0015755;GO:0015757;GO:0015761;GO:0016020;GO:0022857;GO:0055056;GO:0055085;GO:0071944;GO:1902600;GO:1904659,BP;CC;MF,04113,PF00083,IPR003663;IPR005828;IPR005829;IPR020846
YCR105W,643.1086175761491,7.248135989444193,0.33595702510641234,2.128530292893897e-104,4.4805562665416536e-101,ADH7,ADH7,NADPH-dependent medium chain alcohol dehydrogenase; has broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance,S000000702,A0A0L8VUH3,GO:0005575;GO:0006066;GO:0008106;GO:0008270;GO:0016491;GO:0016616;GO:0045551;GO:0046872;GO:0052675,BP;CC;MF,00010;00561;01100;01110,PF00107;PF08240,IPR002085;IPR002328;IPR011032;IPR013149;IPR013154;IPR016040;IPR020843;IPR029752
YKR097W,378.37365018477766,5.161883355651329,0.26248947445801896,6.589271712446058e-87,1.0402812716024215e-83,PCK1,PCK1,"Phosphoenolpyruvate carboxykinase; key enzyme in gluconeogenesis, catalyzes early reaction in carbohydrate biosynthesis, glucose represses transcription and accelerates mRNA degradation, regulated by Mcm1p and Cat8p, located in the cytosol",S000001805,A0A0L8VLJ0,GO:0000166;GO:0004611;GO:0004612;GO:0005524;GO:0005829;GO:0006094;GO:0016829;GO:0016831;GO:0017076,BP;CC;MF,00010;00020;00620;01100;01110,PF01293,IPR001272;IPR008210;IPR013035;IPR015994
YGR088W,677.5246013251436,-4.941499912760357,0.26092431123799176,2.960791073241946e-81,3.7394791255045776e-78,CTT1,CTT1,Cytosolic catalase T; has a role in protection from oxidative damage by hydrogen peroxide,S000003320,C8Z8Y2,GO:0000302;GO:0004096;GO:0004601;GO:0005737;GO:0005739;GO:0005777;GO:0005829;GO:0006979;GO:0016491;GO:0019430;GO:0020037;GO:0042542;GO:0042744;GO:0046872;GO:0098869,BP;CC;MF,00380;00680;01100;04011;04146,PF00199;PF06628,IPR002226;IPR010582;IPR011614;IPR018028;IPR020835;IPR024708;IPR024711
YNR072W,906.0336029575863,4.836220941460027,0.25814130323094014,1.976196107039448e-79,2.079946402659019e-76,HXT17,HXT17,"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by raffinose and galactose at pH 7.7 versus pH 4.7, repressed by high levels of glucose; HXT17 has a paralog, HXT13, that arose from a segmental duplication",S000005355,A0A0L8VJB7,GO:0000324;GO:0005351;GO:0005353;GO:0005886;GO:0008643;GO:0008645;GO:0015578;GO:0015755;GO:0015761;GO:0015795;GO:0015797;GO:0016020;GO:0022857;GO:0055056;GO:0055085;GO:0071944;GO:1902600,BP;CC;MF,04113,PF00083,IPR003663;IPR005828;IPR005829;IPR020846
YNL036W,620.576575575654,3.688086610492452,0.20324919207005715,1.6181003952581882e-74,1.4597577137222082e-71,NCE103,NCE103,"Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress",S000004981,A0A0L8VIR4,GO:0004089;GO:0005634;GO:0005737;GO:0005758;GO:0008270;GO:0015976;GO:0016829;GO:0034599;GO:0046872;GO:0071244,BP;CC;MF,,PF00484,IPR001765;IPR015892
YPL095C,358.3878202921988,-3.5877579630292153,0.20155091099184985,2.9126897904167836e-72,2.2992045033102487e-69,EEB1,EEB1,"Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication",S000006016,C7GJ49,GO:0004026;GO:0005575;GO:0008126;GO:0016740;GO:0016746;GO:0016787;GO:0034338;GO:0047372;GO:0051792;GO:0051793;GO:0052689,BP;CC;MF,,PF00561,IPR000073;IPR000952;IPR012020;IPR029058
YOR273C,492.9408564932031,-3.3194869465878125,0.18762952835106378,3.635653909205659e-71,2.5510171596259703e-68,TPO4,TPO4,"Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane",S000005799,D6W2X3,GO:0000296;GO:0000297;GO:0000329;GO:0005886;GO:0015297;GO:0015606;GO:0015848;GO:0016020;GO:0022857;GO:0055085;GO:0071944;GO:1903710;GO:1903711,BP;CC;MF,,PF07690,IPR005829;IPR011701;IPR020846
YNR073C,2428.7212329508525,6.753362454633973,0.3902247699207363,3.5367143182082057e-68,2.2334350919484817e-65,MAN2,MAN2,"Mannitol dehydrogenase; MAN2 has a paralog, DSF1, that arose from a segmental duplication",S000005356,A6ZSE7,GO:0003824;GO:0005575;GO:0008150;GO:0016491;GO:0019594;GO:0046029;GO:0050086,BP;CC;MF,,PF01232;PF08125,
